date,USARECM,USARECDM,USARECDP,RECPROUSM156N,recess1,recess2,recess3,recess4,recess5,Adj Close,Value,T10Y2Y,BAMLCC1A013YTRIV,stock returns,bond returns
1988-12-30,0.0,0.0,0.0,0.02,5.0,5.0,20.0,20.0,20.0,277.7200012207031,3.56,-0.03,364.4,0.014687573381001856,0.0028345763271595695
1989-01-31,0.0,0.0,0.0,0.12,5.0,5.0,20.0,20.0,20.0,297.4700012207031,3.45,-0.15,367.86,0.07111479156412917,0.009495060373216346
1989-02-28,0.0,0.0,0.0,0.58,5.0,5.0,20.0,20.0,20.0,288.8599853515625,3.38,-0.28,368.69,-0.028944148431130575,0.002256293155004578
1989-03-31,0.0,0.0,0.0,0.5,0.0,10.0,20.0,30.0,32.5,294.8699951171875,3.42,-0.45,370.51,0.02080596160908339,0.00493639643060564
1989-04-28,0.0,0.0,0.0,0.62,0.0,10.0,20.0,30.0,32.5,309.6400146484375,3.42,-0.35,375.1,0.05008993717851857,0.012388329599740984
1989-05-31,0.0,0.0,0.0,1.54,0.0,10.0,20.0,30.0,32.5,320.5199890136719,3.27,-0.26,380.51,0.03513749467292656,0.014422820581178266
1989-06-30,1.0,1.0,1.0,1.26,20.0,20.0,25.0,25.0,25.0,317.9800109863281,3.2,-0.21,387.61,-0.007924554206930933,0.018659167958792206
1989-07-31,1.0,1.0,1.0,1.62,20.0,20.0,25.0,25.0,25.0,346.0799865722656,3.16,0.07,394.23,0.08837025792525584,0.017079022729031768
1989-08-31,1.0,1.0,1.0,0.14,20.0,20.0,25.0,25.0,25.0,351.45001220703125,3.06,-0.17,393.33,0.015516718224456761,-0.002282931283768445
1989-09-29,1.0,1.0,1.0,0.26,7.5,15.0,17.5,27.5,27.5,349.1499938964844,3.06,-0.18,395.91,-0.00654436827616892,0.006559377621844357
1989-10-31,1.0,1.0,1.0,0.38,7.5,15.0,17.5,27.5,27.5,340.3599853515625,3.12,-0.2,401.41,-0.025175450948247552,0.013892046172109823
1989-11-30,1.0,1.0,1.0,0.06,7.5,15.0,17.5,27.5,27.5,345.989990234375,3.22,-0.05,405.02,0.01654132425995139,0.008993298622356087
1989-12-29,1.0,1.0,1.0,0.06,20.0,20.0,20.0,20.0,10.0,353.3999938964844,3.22,0.0,406.47,0.0214168151428017,0.0035800701199941868
1990-01-31,1.0,1.0,1.0,0.24,20.0,20.0,20.0,20.0,10.0,329.0799865722656,3.28,0.05,407.74,-0.06881722621461733,0.0031244618299013007
